Sample ID,Pch equi (g)
396,0.3081
430,10.01155556
440,6.754222222
442,0.208
444,0.3697
480,0.054
486,0.1541
489,2.846838889
490,0.1772
568,2.9384
580,0.638555556
584,13.51695556
400,3.7771875
414,2.8707
464,0.6447
476,0.7218
522,1.5777
528,1.8075
530,2.5833
542,5.895
552,2.7252
560,3.1725
574,4.2528
586,2.8707
402,2.4411
426,0.79782963
428,0.415637037
462,0.186996296
470,0.9236
478,0.10322963
496,0.858937037
510,7.1192
514,1.6949
526,0.130737037
544,2.8982
576,1.6949
404,2.695577778
448,2.377675
454,0
502,2.9638
506,2.079077778
512,4.3237
524,1.163977778
536,3.688411111
540,2.828144444
550,1.965044444
564,4.3237
572,0.308075
410,1.439496296
416,0
436,0.57532963
438,1.877392593
468,0.719892593
472,0.359092593
482,0.6425
492,4.799892593
532,0.607792593
538,5.688592593
554,1.538292593
566,4.084371875
418,0.1082
420,0.119024074
422,0.3155
450,0.763607407
456,1.033
458,1.5902
474,0.263781481
508,1.482907407
520,2.225440741
524,4.8122
558,1.5902
582,0.92345
392,2.782111111
394,2.782111111
398,3.412444444
406,1.964
408,1.595
412,2.9798
432,1.113811111
452,0.451111111
460,0.6452
466,0.612111111
500,2.422
546,0.914
434,0.935385185
446,1.346492593
484,3.570292593
488,1.842159259
494,1.9438
504,9.228492593
516,3.376985185
548,2.45223478
556,3.1939
562,3.376985185
570,4.703385185
590,5.6795125
518,2.650744444
588,1.249811111
